repo,repo_url,mined_at_utc,mining_status,error_type,error_message,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,first_dependabot_pr_query_author,dependabot_pr_search_queries,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,dependabot_config_created_message
42BV/jarb,https://github.com/42BV/jarb,2026-08-14T17:00:36.520962+00:00,ok,,,True,2020-01-21T21:11:51Z,https://github.com/42BV/jarb/pull/53,53,dependabot,Bump spring.version from 5.1.3.RELEASE to 5.2.3.RELEASE,app/dependabot,repo:42BV/jarb is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
52North/arctic-sea,https://github.com/52North/arctic-sea,2026-08-14T17:00:42.593324+00:00,ok,,,True,2019-08-01T21:59:32Z,https://github.com/52North/arctic-sea/pull/47,47,dependabot,Bump version.jackson from 2.9.9 to 2.10.0.pr1,app/dependabot,repo:52North/arctic-sea is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-04-29T15:25:46Z,fe7416a0a9a56c960616fe58de41f1e5b0e19049,https://github.com/52North/arctic-sea/commit/fe7416a0a9a56c960616fe58de41f1e5b0e19049,Upgrade to GitHub-native Dependabot
52North/series-hibernate,https://github.com/52North/series-hibernate,2026-08-14T17:00:50.205286+00:00,ok,,,False,,,,,,,repo:52North/series-hibernate is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-04-29T15:25:57Z,924fab33f054d8521a2e2ade95609ec9f0aba51b,https://github.com/52North/sensorweb-server-db-model/commit/924fab33f054d8521a2e2ade95609ec9f0aba51b,Upgrade to GitHub-native Dependabot
6tail/nlf2-maven,https://github.com/6tail/nlf2-maven,2026-08-14T17:00:59.268097+00:00,ok,,,True,2019-10-29T21:06:00Z,https://github.com/6tail/nlf2-maven/pull/1,1,dependabot,Bump c3p0 from 0.9.5.2 to 0.9.5.4 in /nlf2-plugin-c3p0,app/dependabot,repo:6tail/nlf2-maven is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
88250/latke,https://github.com/88250/latke,2026-08-14T17:01:06.101623+00:00,ok,,,True,2021-02-08T21:25:30Z,https://github.com/88250/latke/pull/37,37,dependabot,⬆️ Bump netty.version from 4.1.49.Final to 4.1.59.Final,app/dependabot,repo:88250/latke is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AKSW/jena-sparql-api,https://github.com/AKSW/jena-sparql-api,2026-08-14T17:01:12.368343+00:00,ok,,,False,,,,,,,repo:AKSW/jena-sparql-api is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Activiti/Activiti,https://github.com/Activiti/Activiti,2026-08-14T17:01:21.642048+00:00,ok,,,True,2020-01-26T14:06:00Z,https://github.com/Activiti/Activiti/pull/3100,3100,dependabot-preview,Bump batik.version from 1.10 to 1.12,app/dependabot-preview,repo:Activiti/Activiti is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-01-19T17:59:56Z,e021dd1fe29bda212a9f95c14679a3011744edcd,https://github.com/Activiti/Activiti/commit/e021dd1fe29bda212a9f95c14679a3011744edcd,Create dependabot.yml
AlejandroRivera/embedded-rabbitmq,https://github.com/AlejandroRivera/embedded-rabbitmq,2026-08-14T17:01:29.552808+00:00,ok,,,True,2019-11-02T17:43:58Z,https://github.com/AlejandroRivera/embedded-rabbitmq/pull/56,56,dependabot,Bump checkstyle from 6.19 to 8.18,app/dependabot,repo:AlejandroRivera/embedded-rabbitmq is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AmyAssist/Amy,https://github.com/AmyAssist/Amy,2026-08-14T17:01:35.317364+00:00,ok,,,True,2019-09-17T22:49:15Z,https://github.com/AmyAssist/Amy/pull/550,550,dependabot,Bump org.eclipse.paho.client.mqttv3 from 1.2.0 to 1.2.1 in /amy-message-hub,app/dependabot,repo:AmyAssist/Amy is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AquaticInformatics/aquarius-sdk-java,https://github.com/AquaticInformatics/aquarius-sdk-java,2026-08-14T17:01:42.257763+00:00,ok,,,True,2020-10-13T09:33:05Z,https://github.com/AquaticInformatics/aquarius-sdk-java/pull/132,132,dependabot,Bump junit from 4.12 to 4.13.1,app/dependabot,repo:AquaticInformatics/aquarius-sdk-java is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ArcBees/GWTP,https://github.com/ArcBees/GWTP,2026-08-14T17:01:48.644191+00:00,ok,,,False,,,,,,,repo:ArcBees/GWTP is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ArcadeData/arcade-connectors,https://github.com/ArcadeData/arcade-connectors,2026-08-14T17:01:54.325446+00:00,ok,,,True,2019-02-18T21:16:18Z,https://github.com/ArcadeData/arcade-connectors/pull/1,1,dependabot-preview,Bump orientdb-gremlin from 3.0.13 to 3.0.15,app/dependabot-preview,repo:ArcadeData/arcade-connectors is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-09-19T10:58:19Z,93f93acab75d87fdb4f2cff63945cda567ff3d58,https://github.com/ArcadeData/arcade-connectors/commit/93f93acab75d87fdb4f2cff63945cda567ff3d58,"adds codacy coverage report
adds dependabot.yml for pom and action"
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2026-08-14T17:02:01.541124+00:00,ok,,,True,2023-03-06T09:22:14Z,https://github.com/AsyncHttpClient/async-http-client/pull/1854,1854,dependabot,Bump commons-fileupload from 1.4 to 1.5 in /client,app/dependabot,repo:AsyncHttpClient/async-http-client is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2024-08-21T17:07:31Z,fca9c6732838b3817a5ecca2b0aadcd6a62bd385,https://github.com/AsyncHttpClient/async-http-client/commit/fca9c6732838b3817a5ecca2b0aadcd6a62bd385,Enable Dependabot (#1975)
AthenZ/athenz,https://github.com/AthenZ/athenz,2026-08-14T17:02:09.030092+00:00,ok,,,True,2019-11-13T07:59:41Z,https://github.com/AthenZ/athenz/pull/817,817,dependabot,Bump jackson-databind from 2.9.9.3 to 2.9.10.1 in /examples/java/instance-provider/provider,app/dependabot,repo:AthenZ/athenz is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework,2026-08-14T17:02:15.482146+00:00,ok,,,False,,,,,,,repo:AxonFramework/AxonFramework is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AxonFramework/AxonFramework is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AxonFramework/AxonFramework is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AxonFramework/AxonFramework is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-10-09T13:10:54Z,5619039461b68c6541ec1798ea59d780ac619c20,https://github.com/AxonIQ/AxonFramework/commit/5619039461b68c6541ec1798ea59d780ac619c20,Added dependabot to the project
Axway/ats-framework,https://github.com/Axway/ats-framework,2026-08-14T17:02:24.443309+00:00,ok,,,True,2020-01-31T18:16:00Z,https://github.com/Axway/ats-framework/pull/23,23,dependabot,Bump checkstyle from 8.19 to 8.29,app/dependabot,repo:Axway/ats-framework is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Axway/ats-framework is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Axway/ats-framework is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Axway/ats-framework is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,2026-08-14T17:02:31.151569+00:00,ok,,,True,2020-10-12T18:00:08Z,https://github.com/Azure/azure-sdk-for-java/pull/16196,16196,dependabot,Bump junit from 4.13 to 4.13.1 in /sdk/loganalytics/microsoft-azure-loganalytics,app/dependabot,repo:Azure/azure-sdk-for-java is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Azure/azure-sdk-for-java is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Azure/azure-sdk-for-java is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Azure/azure-sdk-for-java is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Baidu-ecom/Jprotobuf-rpc-socket,https://github.com/Baidu-ecom/Jprotobuf-rpc-socket,2026-08-14T17:02:37.587755+00:00,ok,,,False,,,,,,,repo:Baidu-ecom/Jprotobuf-rpc-socket is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Baidu-ecom/Jprotobuf-rpc-socket is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Baidu-ecom/Jprotobuf-rpc-socket is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Baidu-ecom/Jprotobuf-rpc-socket is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
BaseXdb/basex,https://github.com/BaseXdb/basex,2026-08-14T17:02:49.337759+00:00,ok,,,True,2020-11-06T12:19:45Z,https://github.com/BaseXdb/basex/pull/1953,1953,dependabot,Bump jettyVersion from 9.4.31.v20200723 to 9.4.34.v20201102,app/dependabot,repo:BaseXdb/basex is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:BaseXdb/basex is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:BaseXdb/basex is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:BaseXdb/basex is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2025-07-31T14:49:04Z,d17d4d3b86eab0ce6f061a6dc196982b98306560,https://github.com/BaseXdb/basex/commit/d17d4d3b86eab0ce6f061a6dc196982b98306560,[MIN] dependabot.yml
Bedework/bw-calendar-engine,https://github.com/Bedework/bw-calendar-engine,2026-08-14T17:02:55.679482+00:00,ok,,,True,2019-11-02T19:53:46Z,https://github.com/Bedework/bw-calendar-engine/pull/5,5,dependabot,Bump jackson.version from 2.9.8 to 2.10.0,app/dependabot,repo:Bedework/bw-calendar-engine is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-calendar-engine is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-calendar-engine is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-calendar-engine is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Bedework/bw-event-registration,https://github.com/Bedework/bw-event-registration,2026-08-14T17:03:01.293844+00:00,ok,,,True,2019-11-02T19:54:02Z,https://github.com/Bedework/bw-event-registration/pull/1,1,dependabot,Bump spring.version from 3.0.5.RELEASE to 5.2.1.RELEASE,app/dependabot,repo:Bedework/bw-event-registration is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-event-registration is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-event-registration is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-event-registration is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Bedework/bw-synch,https://github.com/Bedework/bw-synch,2026-08-14T17:03:07.846455+00:00,ok,,,True,2020-06-15T20:54:48Z,https://github.com/Bedework/bw-synch/pull/1,1,dependabot,Bump commons-collections4 from 4.0 to 4.1 in /bw-synch-ear,app/dependabot,repo:Bedework/bw-synch is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-synch is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-synch is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Bedework/bw-synch is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
BroadleafCommerce/BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce,2026-08-14T17:03:14.806443+00:00,ok,,,True,2019-12-20T16:06:23Z,https://github.com/BroadleafCommerce/BroadleafCommerce/pull/2212,2212,dependabot,Bump spring.security.version from 5.0.12.RELEASE to 5.2.1.RELEASE,app/dependabot,repo:BroadleafCommerce/BroadleafCommerce is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:BroadleafCommerce/BroadleafCommerce is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:BroadleafCommerce/BroadleafCommerce is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:BroadleafCommerce/BroadleafCommerce is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
BrunoEberhard/minimal-j,https://github.com/BrunoEberhard/minimal-j,2026-08-14T17:03:21.830254+00:00,ok,,,True,2020-06-06T05:25:38Z,https://github.com/BrunoEberhard/minimal-j/pull/26,26,dependabot,Bump ignite-core from 2.6.0 to 2.8.1 in /ext/ignite,app/dependabot,repo:BrunoEberhard/minimal-j is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:BrunoEberhard/minimal-j is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:BrunoEberhard/minimal-j is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:BrunoEberhard/minimal-j is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Bynder/bynder-java-sdk,https://github.com/Bynder/bynder-java-sdk,2026-08-14T17:03:27.295824+00:00,ok,,,True,2020-10-13T01:21:23Z,https://github.com/Bynder/bynder-java-sdk/pull/35,35,dependabot,Bump junit from 4.13 to 4.13.1,app/dependabot,repo:Bynder/bynder-java-sdk is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Bynder/bynder-java-sdk is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Bynder/bynder-java-sdk is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Bynder/bynder-java-sdk is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
CAFAudit/audit-service,https://github.com/CAFAudit/audit-service,2026-08-14T17:03:32.981183+00:00,ok,,,True,2020-02-07T15:12:07Z,https://github.com/CAFAudit/audit-service/pull/89,89,dependabot,Bump spring-version from 5.0.4.RELEASE to 5.2.3.RELEASE,app/dependabot,repo:CAFAudit/audit-service is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CAFAudit/audit-service is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CAFAudit/audit-service is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CAFAudit/audit-service is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Captain-P-Goldfish/SCIM,https://github.com/Captain-P-Goldfish/SCIM,2026-08-14T17:03:40.318340+00:00,ok,,,False,,,,,,,repo:Captain-P-Goldfish/SCIM is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Captain-P-Goldfish/SCIM is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Captain-P-Goldfish/SCIM is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Captain-P-Goldfish/SCIM is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-06-26T16:46:55Z,a26e96b5837d8ba1702351cef61b78200ceb315d,https://github.com/Captain-P-Goldfish/SCIM-SDK/commit/a26e96b5837d8ba1702351cef61b78200ceb315d,Create Dependabot config file
CloudSlang/cloud-slang,https://github.com/CloudSlang/cloud-slang,2026-08-14T17:03:49.186972+00:00,ok,,,True,2019-11-05T14:17:28Z,https://github.com/CloudSlang/cloud-slang/pull/1120,1120,dependabot,Bump checkstyle from 6.19 to 8.18,app/dependabot,repo:CloudSlang/cloud-slang is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cloud-slang is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cloud-slang is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cloud-slang is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
CloudSlang/cs-actions,https://github.com/CloudSlang/cs-actions,2026-08-14T17:03:56.086182+00:00,ok,,,True,2019-11-13T04:46:05Z,https://github.com/CloudSlang/cs-actions/pull/509,509,dependabot,Bump jackson-databind from 2.9.5 to 2.9.10.1 in /cs-vmware,app/dependabot,repo:CloudSlang/cs-actions is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cs-actions is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cs-actions is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CloudSlang/cs-actions is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
CloudSlang/score,https://github.com/CloudSlang/score,2026-08-14T17:04:02.522872+00:00,ok,,,True,2019-11-13T03:22:08Z,https://github.com/CloudSlang/score/pull/236,236,dependabot,Bump jackson-databind from 2.9.8 to 2.9.10.1,app/dependabot,repo:CloudSlang/score is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CloudSlang/score is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CloudSlang/score is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CloudSlang/score is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Comcast/jrugged,https://github.com/Comcast/jrugged,2026-08-14T17:04:07.862757+00:00,ok,,,True,2020-10-13T00:33:20Z,https://github.com/Comcast/jrugged/pull/75,75,dependabot,Bump junit from 4.7 to 4.13.1,app/dependabot,repo:Comcast/jrugged is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Comcast/jrugged is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Comcast/jrugged is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Comcast/jrugged is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ConsumerDataStandardsAustralia/java-artefacts,https://github.com/ConsumerDataStandardsAustralia/java-artefacts,2026-08-14T17:04:15.307038+00:00,ok,,,False,,,,,,,repo:ConsumerDataStandardsAustralia/java-artefacts is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ConsumerDataStandardsAustralia/java-artefacts is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ConsumerDataStandardsAustralia/java-artefacts is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ConsumerDataStandardsAustralia/java-artefacts is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Contrast-Security-OSS/contrast-maven-plugin,https://github.com/Contrast-Security-OSS/contrast-maven-plugin,2026-08-14T17:04:22.864421+00:00,ok,,,True,2020-10-12T20:25:38Z,https://github.com/Contrast-Security-OSS/contrast-maven-plugin/pull/26,26,dependabot,Bump junit from 4.8.2 to 4.13.1,app/dependabot,repo:Contrast-Security-OSS/contrast-maven-plugin is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Contrast-Security-OSS/contrast-maven-plugin is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Contrast-Security-OSS/contrast-maven-plugin is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Contrast-Security-OSS/contrast-maven-plugin is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Coreoz/Wisp,https://github.com/Coreoz/Wisp,2026-08-14T17:04:29.336705+00:00,ok,,,True,2020-10-12T19:51:22Z,https://github.com/Coreoz/Wisp/pull/10,10,dependabot,Bump junit from 4.12 to 4.13.1,app/dependabot,repo:Coreoz/Wisp is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Coreoz/Wisp is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Coreoz/Wisp is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Coreoz/Wisp is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Crim/pardot-java-client,https://github.com/Crim/pardot-java-client,2026-08-14T17:04:36.186246+00:00,ok,,,True,2019-10-29T14:44:56Z,https://github.com/Crim/pardot-java-client/pull/30,30,dependabot,Bump jackson.version from 2.9.9 to 2.10.0,app/dependabot,repo:Crim/pardot-java-client is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Crim/pardot-java-client is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Crim/pardot-java-client is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Crim/pardot-java-client is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
CyberSource/cybersource-sdk-java,https://github.com/CyberSource/cybersource-sdk-java,2026-08-14T17:04:42.158941+00:00,ok,,,True,2020-10-13T06:47:54Z,https://github.com/CyberSource/cybersource-sdk-java/pull/150,150,dependabot,Bump junit from 4.12 to 4.13.1 in /java,app/dependabot,repo:CyberSource/cybersource-sdk-java is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CyberSource/cybersource-sdk-java is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CyberSource/cybersource-sdk-java is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CyberSource/cybersource-sdk-java is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
CycloneDX/cyclonedx-core-java,https://github.com/CycloneDX/cyclonedx-core-java,2026-08-14T17:04:48.857758+00:00,ok,,,True,2019-09-08T07:33:36Z,https://github.com/CycloneDX/cyclonedx-core-java/pull/10,10,dependabot-preview,Bump maven-gpg-plugin from 1.5 to 1.6,app/dependabot-preview,repo:CycloneDX/cyclonedx-core-java is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:CycloneDX/cyclonedx-core-java is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:CycloneDX/cyclonedx-core-java is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:CycloneDX/cyclonedx-core-java is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-11-19T03:46:36Z,0b6bc78992302cd14ff952d518bcab5a25beb7eb,https://github.com/CycloneDX/cyclonedx-core-java/commit/0b6bc78992302cd14ff952d518bcab5a25beb7eb,Create dependabot.yml
DDTH/ddth-commons,https://github.com/DDTH/ddth-commons,2026-08-14T17:04:56.514096+00:00,ok,,,True,2019-10-29T21:14:20Z,https://github.com/DDTH/ddth-commons/pull/1,1,dependabot,Bump version.jackson from 2.9.8 to 2.10.0,app/dependabot,repo:DDTH/ddth-commons is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:DDTH/ddth-commons is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:DDTH/ddth-commons is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:DDTH/ddth-commons is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
